   136/299     9.49G   0.00996  0.005398         0   0.01536         4      1376    0.9933    0.9967    0.9963    0.9109  0.009994   0.01557         0
   137/299     9.49G  0.007556  0.005742         0    0.0133        15      1376    0.9934    0.9967    0.9962    0.9041    0.0101   0.01548         0
   138/299     9.49G  0.007458  0.005371         0   0.01283         9      1376    0.9933    0.9967    0.9968    0.9083  0.009971   0.01532         0
   139/299     9.49G  0.007456  0.005839         0   0.01329        10      1376    0.9933    0.9967    0.9969    0.9022   0.01001   0.01542         0
   140/299     9.49G  0.007399  0.005515         0   0.01291         8      1376    0.9934    0.9967    0.9964     0.906  0.009953   0.01537         0
   141/299     9.49G  0.008741  0.005343         0   0.01408         5      1376    0.9934    0.9967    0.9966    0.9061  0.009958   0.01552         0
   142/299     9.49G  0.007757  0.005449         0   0.01321         6      1376    0.9934    0.9967    0.9965    0.9084  0.009866   0.01548         0
   143/299     9.49G  0.007756  0.005411         0   0.01317        10      1376    0.9934    0.9967     0.996    0.9053  0.009843   0.01545         0
   144/299     9.49G  0.007725  0.005651         0   0.01338         9      1376    0.9934    0.9967    0.9969    0.9033  0.009869   0.01542         0
   145/299     9.49G  0.007501  0.005656         0   0.01316         9      1376    0.9933    0.9967    0.9961    0.9046  0.009919   0.01549         0
   146/299     9.49G  0.007329  0.005601         0   0.01293        13      1376    0.9934    0.9967    0.9968    0.9041  0.009766   0.01542         0
   147/299     9.49G  0.007714  0.005651         0   0.01337         8      1376    0.9934    0.9967    0.9961    0.9048  0.009756   0.01571         0
   148/299     9.49G  0.007335   0.00554         0   0.01287         3      1376    0.9934    0.9967     0.996    0.9034  0.009762   0.01566         0
   149/299     9.49G  0.008388   0.00555         0   0.01394         6      1376    0.9933    0.9967    0.9966    0.9027  0.009772   0.01559         0
   150/299     9.49G  0.008433  0.005268         0    0.0137         4      1376    0.9934    0.9967    0.9967     0.906  0.009691   0.01553         0
   151/299     9.49G   0.00697  0.005292         0   0.01226         6      1376    0.9933    0.9967    0.9965    0.9039  0.009528   0.01554         0
   152/299     9.49G  0.008493  0.005657         0   0.01415        12      1376    0.9933    0.9967    0.9968    0.9053  0.009536   0.01545         0
   153/299     9.49G  0.007248  0.005281         0   0.01253         6      1376    0.9933    0.9967    0.9969    0.9057  0.009594   0.01553         0
   154/299     9.49G  0.007091   0.00514         0   0.01223         8      1376    0.9934    0.9967    0.9968    0.9033  0.009462   0.01568         0
   155/299     9.49G  0.007178  0.005244         0   0.01242         8      1376    0.9934    0.9967    0.9969    0.9054  0.009584   0.01576         0
   156/299     9.49G   0.01041  0.005372         0   0.01578        12      1376    0.9934    0.9967    0.9967    0.9117  0.009469    0.0156         0
   157/299     9.49G  0.009542  0.005765         0   0.01531         5      1376    0.9934    0.9967    0.9965    0.9061  0.009687   0.01565         0
   158/299     9.49G  0.007407  0.005438         0   0.01284         4      1376    0.9934    0.9967    0.9967    0.9002  0.009655   0.01562         0
   159/299     9.49G  0.007182  0.005417         0    0.0126        13      1376    0.9933    0.9967    0.9967    0.9068  0.009544   0.01575         0
   160/299     9.49G  0.007334  0.005201         0   0.01253         4      1376    0.9934    0.9967    0.9968    0.9041  0.009477   0.01576         0
   161/299     9.49G  0.007276  0.005129         0   0.01241        11      1376    0.9933    0.9967    0.9967    0.9068  0.009476   0.01572         0
   162/299     9.49G  0.007307    0.0055         0   0.01281         8      1376    0.9933    0.9967    0.9966    0.9092  0.009427   0.01578         0
   163/299     9.49G  0.007199  0.005431         0   0.01263        11      1376    0.9934    0.9967    0.9962    0.9035  0.009483   0.01569         0
   164/299     9.49G  0.007104  0.005217         0   0.01232        10      1376    0.9933    0.9967    0.9965    0.9029  0.009527   0.01579         0
   165/299     9.49G  0.007102  0.005097         0    0.0122         5      1376    0.9934    0.9967     0.996    0.9062    0.0095   0.01596         0
   166/299     9.49G  0.007922  0.005348         0   0.01327         9      1376    0.9933    0.9967    0.9965    0.9028  0.009519   0.01588         0
   167/299     9.49G  0.006816  0.005303         0   0.01212        12      1376    0.9934    0.9967    0.9965    0.9048  0.009488   0.01596         0
   168/299     9.49G   0.00714  0.005431         0   0.01257         8      1376    0.9934    0.9967    0.9965    0.9046  0.009469   0.01587         0
